feature	coef
bias	0.5047798453842295
alfredo	0.0008937186943192633
almond	0.07654952084438027
american	0.0655453110372347
appetizer	0.0735667725491359
appetizers	0.0006140438867650519
apple	-0.1576914311447752
asiancuisine	0.060878942761689134
asparagus	-0.1511837871140512
avocado	0.044674236020006516
bacon	0.2962736937519044
baked	-0.02372301367006137
bakeddishes	0.009084303092092579
bakery	0.010093698718233802
baking	0.05885700435013666
beans	0.07580586534021685
beef	-0.018183969045297562
bellpeppers	-0.044712123019522106
berries	-0.007509326223536901
blackbeans	-0.044712123019522106
blackvinegar	0.006814518168824661
blueberry	-0.047091676180919834
boiledeggs	-0.0028810427024150665
bokchoy	-0.0028810427024150665
braided	-0.0013523650232137709
bread	0.10654553402280095
breaded	-0.005170932382171526
breakfast	0.12245047445237314
breakfastpastry	0.037442346284836385
brioche	-0.03476826299109668
broiling	0.016327262978579823
brownies	0.05022293208138792
brownsugar	0.017074206094868462
brunch	-0.01736511154921304
burger	-0.023506943470493098
burritos	0.0011063824951862207
buttery	-0.005039126686872956
cake	0.03196974787736932
carrots	-0.0028810427024150665
casserole	0.08061340599675947
celebration	-0.022541929230560843
cheese	0.0182927371530272
cheesy	-0.009163318934662924
cherry	0.04947328807740869
chicken	0.008137627304181883
chickpeas	-0.023506943470493098
chilioil	-0.007987498638564931
chilipowder	-0.044712123019522106
chinese	0.011488541921681078
chinesecookingwine	-0.014802016807389592
chinesecuisine	0.006670299814578053
chocolate	0.16009356752564988
chocolatechip	0.10969904523830462
chocolatecroissant	0.037442346284836385
christmas	0.008785700609328678
cilantro	0.05220881793682559
cinnamon	0.03194814411654996
citrus	0.004392850304664338
classic	0.0033981966110152445
cloves	-0.10259196375536174
cobbler	-0.05439115189568648
cocoapowder	0.03956634945559826
coffee	-0.006459705328148245
cold	0.011488541921681078
coldnoodles	-0.019257857068039612
comfortfood	-0.037188765496786264
condiment	-0.10814448766646106
cookies	0.05891772243509046
corn	-0.022541929230560843
cranberry	0.07451252792919066
creamcheese	-0.03382825214037466
creamy	0.03154382391945486
crisp	-0.08408268690398046
crispy	0.044102941495888774
croissant	-0.006459705328148245
croissants	0.05297025663256579
crumble	-0.15330083009931617
crust	-0.10259196375536174
cucumber	-0.019257857068039612
cumin	-0.044712123019522106
cupcakes	0.05169957156449496
custard	-0.1016433920452342
custardy	0.011278023894575509
customizable	-0.028241001012247535
danish	-0.03382825214037466
dashibroth	0.11801128510947272
dates	0.015334468657190011
decadent	0.07088217330455172
dessert	0.08149781650955415
dinner	0.010622923204232871
dip	0.1155838539639096
donuts	-0.007591227890196756
easterneuropean	-0.0013523650232137709
easy	-0.03600284929508313
easydinner	-0.028778905041972683
egg	0.014550812314616475
eggs	0.005769656176808278
eggwhites	-0.029460121371239437
fajitaseasoning	0.049782723308141645
fall	-0.006446846164419942
familyfriendly	0.05183450095478678
fastfood	-0.005170932382171526
