recipe_slug	score_estimate
falafel	0.4931033624780328
spamburger	0.4942380919736326
bacon-fried-rice	1.0006551006903428
chicken-fingers	0.5327945405944079
apple-crisp	0.07217367348428204
cranberry-apple-crisp	0.43427317268013793
bacon-chocolate-chip-cookies	1.050781322803214
sujebi	0.4909847494964216
pasta-primavera	0.5091267697086123
ramen	0.5028810427024158
brownies	0.9277654616722343
bacon-wrapped-scallops	0.9517263368992214
bacon-egg-muffins	0.9779771395540255
breakfast-burritos	0.9988936175048139
bolognese-sauce	0.4979738597364162
croissants	0.7399063012817659
bacon-souffle	0.9947916826881618
souffle	0.9234072044790491
chocolate-souffle	0.9877506041425164
butter-croissants	0.7214188057680344
pickled-green-beans	0.07440163692796496
fried-oysters	0.5298728031611055
peanut-butter-brownies	0.9497770679186119
almond-chip-cookies	0.8903009547616955
guacamole	0.9329891652557846
brioche-bread	0.7261521047631451
brioche-bread-with-chocolate	1.0347682629910961
asparagus-quiche	0.10127306234947465
asparagus-burger	0.02350694347049353
ma-la-chicken	0.5148020168073899
cold-noodles-with-tomatoes	0.48872717300182184
tamales	0.5225419292305611
enchiladas	0.5287789050419726
tacos	0.535730246191923
burritos	0.5282410010122476
peanut-butter-cupcakes	0.9483004284355048
pickled-asparagus	0.10209427149002447
chocolate-peanut-butter-cake	1.0075966015782285
udon	0.5547664627323917
vegetable-lasagna	0.4805459568939992
maple-bacon-donuts	1.0075912278901966
maple-bacon-pancakes	0.9746369185372742
spinach-and-ricotta-stuffed-shells	0.49091569690790754
quesadillas	0.544712123019522
pico-de-gallo	0.5148359167857656
nachos	0.9241941346597833
cold-soba-noodles-with-tomato-and-cucumber	0.5305306840662176
fajitas	0.950217276691858
loaded-nachos	0.9422659052638189
lasagna	0.5332387965340328
chicken-nuggets	0.5051709323821715
pain-au-chocolat	0.9625576537151631
nacho-dip	0.9514269807803053
nacho-salad	0.9823095044991275
nacho-casserole	0.9193865940032402
nacho-fries	0.5312914331411451
tempura-udon	0.8819887148905271
peach-crisp	0.37974035769372894
apple-pie	0.10259196375536152
blueberry-crisp	0.18930553018626575
berry-crumble	0.16717906317184986
strawberry-rhubarb-crisp	0.5010806266360277
peach-cobbler	0.5383191289358604
cranberry-sauce	0.49560714969533554
cherry-cobbler	0.516072022959826
apple-crumble	0.04865262122499309
chocolate-croissants	0.9571234420856674
french-toast	0.56883634171675
chocolate-babka	1.0013523650232141
cinnamon-babka	0.8825340982229561
blueberry-crumble	0.3577861459946541
spam-musubi	0.4982473815500728
taco-salad	0.516520150754588
chiles-rellenos	0.5025987787107745
almond-croissants	0.7766898190657756
cranberry-relish	0.49560714969533554
ma-la-beef	0.5001442183542466
chocolate-cake	0.9604336505444017
spinach-quiche	0.4972325365573234
mushroom-quiche	0.48872197610542406
quiche-lorraine	0.9709102083245201
croissant-aux-amandes	0.7564597053281481
danishes	0.5338282521403749
spinach-and-feta-quiche	0.49649451249179904
cold-sesame-noodles	0.4885114580783186
soba-noodle-salad-with-peanut-dressing	0.9085903731720932
dan-dan-noodles	0.49318548183117533
vanilla-souffle	0.5294601213712392
bacon-wrapped-dates	0.9846655313428098
cherry-pie	0.4344546889627654
berry-crisp	0.007509326223536533
bacon-and-egg-breakfast-sandwich	0.9854491876853834
bacon-wrapped-shrimp-skewers	0.9836727370214199
bacon-wrapped-chicken	0.9179315855275314
bacon-wrapped-asparagus	0.9243095098040589
bacon-mac-and-cheese	0.9797341999751206
chicken-alfredo-lasagna	0.49910628130568063
classic-beef-lasagna	0.48038441389269015
vegetarian-mushroom-lasagna	0.49543870151464015
spinach-and-ricotta-lasagna	0.5076870318607893
